Var1,URL,SRC,R,G,B,USAGE,GitHub
34,https://live.staticflickr.com/5466/17374653568_43c8ec9656_t.jpg,./NaturePhotos/34.jpg,64.6168,58.7756,77.5076,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/34.jpg
35,https://live.staticflickr.com/65535/50856159421_87404dc77a_t.jpg,./NaturePhotos/35.jpg,137.0036,124.6788,131.3604,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/35.jpg
36,https://live.staticflickr.com/65535/49970438162_d17bf054d7_t.jpg,./NaturePhotos/36.jpg,130.6316,113.1768,127.2468,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/36.jpg
37,https://live.staticflickr.com/1755/42673465221_42b20406ee_t.jpg,./NaturePhotos/37.jpg,127.6804,93.062,121.59,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/37.jpg
38,https://live.staticflickr.com/881/41554695625_06fe90d735_t.jpg,./NaturePhotos/38.jpg,96.4024,57.1752,106.7648,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/38.jpg
39,https://live.staticflickr.com/3835/14803983551_cf0c3496dd_t.jpg,./NaturePhotos/39.jpg,74.9824,100.5508,87.664,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/39.jpg
40,https://live.staticflickr.com/65535/51051223103_4c13548f80_t.jpg,./NaturePhotos/40.jpg,200.7928,197.3224,200.6264,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/40.jpg
41,https://live.staticflickr.com/4825/44346850010_ef3d11eefb_t.jpg,./NaturePhotos/41.jpg,127.734,57.452,87.1204,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/41.jpg
42,https://live.staticflickr.com/65535/49759855613_918b1bd5be_t.jpg,./NaturePhotos/42.jpg,131.4216,138.344,131.7908,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/42.jpg
43,https://live.staticflickr.com/65535/48647206386_4f91ab986e_t.jpg,./NaturePhotos/43.jpg,119.5652,117.36,127.57,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/43.jpg
44,https://live.staticflickr.com/65535/51237644470_4795ec2890_t.jpg,./NaturePhotos/44.jpg,131.5312,115.9504,123.7852,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/44.jpg
45,https://live.staticflickr.com/919/40734108065_d0991fb645_t.jpg,./NaturePhotos/45.jpg,127.9956,108.3616,131.2344,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/45.jpg
46,https://live.staticflickr.com/65535/46888014844_6602b1815c_t.jpg,./NaturePhotos/46.jpg,113.2016,128.7652,121.1796,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/46.jpg
47,https://live.staticflickr.com/65535/51153960995_f76543e840_t.jpg,./NaturePhotos/47.jpg,64.5592,67.5064,70.6776,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/47.jpg
48,https://live.staticflickr.com/65535/47787922932_b82861d9f8_t.jpg,./NaturePhotos/48.jpg,104.9124,96.2732,114.3376,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/48.jpg
49,https://live.staticflickr.com/65535/50924238641_807d67d540_t.jpg,./NaturePhotos/49.jpg,143.9024,93.2532,114.3976,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/49.jpg
51,https://live.staticflickr.com/4891/32468462887_537c340c31_t.jpg,./NaturePhotos/51.jpg,118.9344,105.272,103.408,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/51.jpg
52,https://live.staticflickr.com/1740/41924798154_b88ce23b2b_t.jpg,./NaturePhotos/52.jpg,111.3488,95.2688,104.708,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/52.jpg
53,https://live.staticflickr.com/65535/48045474016_104bfc461b_t.jpg,./NaturePhotos/53.jpg,141.284,122.3768,115.5128,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/53.jpg
54,https://live.staticflickr.com/5335/16807382134_0a8fc12792_t.jpg,./NaturePhotos/54.jpg,82.442,68.238,91.1304,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/54.jpg
55,https://live.staticflickr.com/65535/51012212870_8c1b507006_t.jpg,./NaturePhotos/55.jpg,110.082,111.2856,110.6584,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/55.jpg
56,https://live.staticflickr.com/65535/47961391711_03e34dd52d_t.jpg,./NaturePhotos/56.jpg,110.5064,174.9508,147.9836,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/56.jpg
58,https://live.staticflickr.com/65535/47765549762_82a377ff58_t.jpg,./NaturePhotos/58.jpg,112.9168,80.7392,124.6628,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/58.jpg
59,https://live.staticflickr.com/65535/50527076727_04ebf94468_t.jpg,./NaturePhotos/59.jpg,138.9376,99.0656,126.6768,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/59.jpg
60,https://live.staticflickr.com/65535/50632177356_980ea6afb2_t.jpg,./NaturePhotos/60.jpg,124.662,106.9512,111.2152,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/60.jpg
61,https://live.staticflickr.com/1876/43773179124_3f980a3143_t.jpg,./NaturePhotos/61.jpg,119.5044,92.0552,120.1248,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/61.jpg
62,https://live.staticflickr.com/5503/9474832720_ec48f95675_t.jpg,./NaturePhotos/62.jpg,116.6176,101.5928,109.374,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/62.jpg
63,https://live.staticflickr.com/65535/49247673973_9c2a844cd1_t.jpg,./NaturePhotos/63.jpg,101.018,103.1224,104.1388,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/63.jpg
64,https://live.staticflickr.com/65535/49850576711_0ec3a9355a_t.jpg,./NaturePhotos/64.jpg,117.8964,148.4552,135.0664,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/64.jpg
65,https://live.staticflickr.com/3717/9474102294_972d30ce6c_t.jpg,./NaturePhotos/65.jpg,128.0992,123.898,122.5996,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/65.jpg
66,https://live.staticflickr.com/65535/52015922332_9c9ff0d999_t.jpg,./NaturePhotos/66.jpg,108.5824,114.182,115.0836,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/66.jpg
68,https://live.staticflickr.com/7381/9644641200_4fe303bdbf_t.jpg,./NaturePhotos/68.jpg,138.592,104.3344,118.466,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/68.jpg
69,https://live.staticflickr.com/65535/51068540347_d7622506ea_t.jpg,./NaturePhotos/69.jpg,103.8372,79.8516,103.9752,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/69.jpg
70,https://live.staticflickr.com/65535/49048754501_2655ee1856_t.jpg,./NaturePhotos/70.jpg,105.9956,98.676,99.6296,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/70.jpg
71,https://live.staticflickr.com/7888/46740605914_8ce5731ba3_t.jpg,./NaturePhotos/71.jpg,160.5028,152.1948,155.7204,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/71.jpg
72,https://live.staticflickr.com/1846/29795138517_cb280818f4_t.jpg,./NaturePhotos/72.jpg,116.34,78.6976,116.4124,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/72.jpg
73,https://live.staticflickr.com/8669/28131151993_74d50b3c08_t.jpg,./NaturePhotos/73.jpg,55.9176,40.256,74.9684,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/73.jpg
74,https://live.staticflickr.com/65535/49819617293_c999fdb755_t.jpg,./NaturePhotos/74.jpg,122.1396,96.1376,136.2584,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/74.jpg
75,https://live.staticflickr.com/4778/40057283804_8bc52a3c18_t.jpg,./NaturePhotos/75.jpg,125.9116,117.5908,124.5624,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/75.jpg
76,https://live.staticflickr.com/65535/50022705802_5e47508bae_t.jpg,./NaturePhotos/76.jpg,94.0004,90.4064,107.1408,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/76.jpg
77,https://live.staticflickr.com/65535/49379842521_39426f6f44_t.jpg,./NaturePhotos/77.jpg,131.0496,110.1868,122.5016,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/77.jpg
78,https://live.staticflickr.com/7457/9218478912_5b79790723_t.jpg,./NaturePhotos/78.jpg,109.7312,90.8464,108.6928,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/78.jpg
79,https://live.staticflickr.com/864/41052050015_f40274242d_t.jpg,./NaturePhotos/79.jpg,92.9976,60.6888,115.2288,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/79.jpg
80,https://live.staticflickr.com/7345/10020447425_d90646e330_t.jpg,./NaturePhotos/80.jpg,95.5136,89.3416,96.0744,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/80.jpg
81,https://live.staticflickr.com/1828/43396857452_d58fb98f43_t.jpg,./NaturePhotos/81.jpg,162.1228,110.2416,77.5232,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/81.jpg
82,https://live.staticflickr.com/65535/50191157473_162702ef15_t.jpg,./NaturePhotos/82.jpg,89.0984,82.6892,92.7816,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/82.jpg
83,https://live.staticflickr.com/65535/50401162977_68d4046434_t.jpg,./NaturePhotos/83.jpg,78.6376,84.284,85.6908,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/83.jpg
84,https://live.staticflickr.com/65535/50244788841_e522843e33_t.jpg,./NaturePhotos/84.jpg,108.9436,105.0204,125.758,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/84.jpg
85,https://live.staticflickr.com/65535/49617043608_7cfe3747cd_t.jpg,./NaturePhotos/85.jpg,116.6412,75.5212,114.7428,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/85.jpg
86,https://live.staticflickr.com/7284/9571634744_c73e90166f_t.jpg,./NaturePhotos/86.jpg,160.4396,143.3788,153.2676,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/86.jpg
87,https://live.staticflickr.com/65535/51098692773_11b3f3a7b7_t.jpg,./NaturePhotos/87.jpg,127.6808,57.0888,88.218,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/87.jpg
88,https://live.staticflickr.com/65535/49556087643_22d1a9541d_t.jpg,./NaturePhotos/88.jpg,96.9752,86.2996,90.8924,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/88.jpg
89,https://live.staticflickr.com/7854/39861380843_3976fbe9bf_t.jpg,./NaturePhotos/89.jpg,135.992,69.9732,95.208,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/89.jpg
90,https://live.staticflickr.com/65535/48758156553_3609c7db36_t.jpg,./NaturePhotos/90.jpg,131.1068,100.9524,106.9168,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/90.jpg
91,https://live.staticflickr.com/1758/27864353287_66acb7f6f4_t.jpg,./NaturePhotos/91.jpg,95.1104,80.2572,91.5276,0,https://raw.githubusercontent.com/djm0321/PhotoMosaic/master/NaturePhotos/91.jpg
